id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
S73,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1
S74,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
S75,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1
S76,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
S77,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0
S78,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
S79,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0
S80,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1
S81,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
S82,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
S83,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0
S84,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
S85,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0
S86,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1
S87,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
S88,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
S89,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
S90,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1
S91,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
S92,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
S93,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
S94,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
S95,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0
S96,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1
S97,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1
S98,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1
S99,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
S100,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
S101,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S102,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
S103,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1
S104,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1
S105,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0
S106,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
S107,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
S108,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0
S109,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1
S110,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1
S111,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S112,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S113,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1
S114,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1
S115,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
S116,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
S117,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1
S118,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
S119,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1
S120,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1
S121,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1
S122,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
S123,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0
S124,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
S125,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1
S126,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
S127,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1
S128,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1
S129,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0
